"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~4세","2023년10월_계_5~9세","2023년10월_계_10~14세","2023년10월_계_15~19세","2023년10월_계_20~24세","2023년10월_계_25~29세","2023년10월_계_30~34세","2023년10월_계_35~39세","2023년10월_계_40~44세","2023년10월_계_45~49세","2023년10월_계_50~54세","2023년10월_계_55~59세","2023년10월_계_60~64세","2023년10월_계_65~69세","2023년10월_계_70~74세","2023년10월_계_75~79세","2023년10월_계_80~84세","2023년10월_계_85~89세","2023년10월_계_90~94세","2023년10월_계_95~99세","2023년10월_계_100세 이상","2023년10월_남_총인구수","2023년10월_남_연령구간인구수","2023년10월_남_0~4세","2023년10월_남_5~9세","2023년10월_남_10~14세","2023년10월_남_15~19세","2023년10월_남_20~24세","2023년10월_남_25~29세","2023년10월_남_30~34세","2023년10월_남_35~39세","2023년10월_남_40~44세","2023년10월_남_45~49세","2023년10월_남_50~54세","2023년10월_남_55~59세","2023년10월_남_60~64세","2023년10월_남_65~69세","2023년10월_남_70~74세","2023년10월_남_75~79세","2023년10월_남_80~84세","2023년10월_남_85~89세","2023년10월_남_90~94세","2023년10월_남_95~99세","2023년10월_남_100세 이상","2023년10월_여_총인구수","2023년10월_여_연령구간인구수","2023년10월_여_0~4세","2023년10월_여_5~9세","2023년10월_여_10~14세","2023년10월_여_15~19세","2023년10월_여_20~24세","2023년10월_여_25~29세","2023년10월_여_30~34세","2023년10월_여_35~39세","2023년10월_여_40~44세","2023년10월_여_45~49세","2023년10월_여_50~54세","2023년10월_여_55~59세","2023년10월_여_60~64세","2023년10월_여_65~69세","2023년10월_여_70~74세","2023년10월_여_75~79세","2023년10월_여_80~84세","2023년10월_여_85~89세","2023년10월_여_90~94세","2023년10월_여_95~99세","2023년10월_여_100세 이상"
"서울특별시  (1100000000)","9,400,249","9,400,249","215,258","303,252","355,920","380,926","560,731","803,601","776,931","651,281","737,349","688,895","793,761","696,206","714,208","603,841","416,085","318,373","228,280","109,111","36,360","8,409","1,471","4,548,150","4,548,150","110,832","155,105","182,895","194,243","263,138","384,934","389,464","324,772","365,832","339,776","392,247","340,247","342,086","281,725","190,751","141,601","96,979","39,328","10,065","1,800","330","4,852,099","4,852,099","104,426","148,147","173,025","186,683","297,593","418,667","387,467","326,509","371,517","349,119","401,514","355,959","372,122","322,116","225,334","176,772","131,301","69,783","26,295","6,609","1,141"
"서울특별시 종로구 (1111000000)","139,606","139,606","2,370","3,637","4,544","5,237","9,174","12,397","10,800","8,512","9,701","9,563","12,431","11,439","11,462","9,235","6,211","5,269","4,345","2,289","757","197","36","67,466","67,466","1,201","1,821","2,236","2,573","4,162","6,070","5,484","4,169","4,726","4,597","6,178","5,673","5,787","4,597","2,909","2,285","1,805","870","262","51","10","72,140","72,140","1,169","1,816","2,308","2,664","5,012","6,327","5,316","4,343","4,975","4,966","6,253","5,766","5,675","4,638","3,302","2,984","2,540","1,419","495","146","26"
"서울특별시 중구 (1114000000)","121,300","121,300","2,712","2,983","2,865","3,324","6,805","10,760","11,497","9,274","9,057","7,732","9,721","9,349","9,821","8,443","5,793","4,702","3,687","1,868","700","181","26","58,720","58,720","1,372","1,528","1,456","1,637","3,112","4,955","5,726","4,670","4,590","3,974","4,787","4,729","4,946","4,150","2,730","2,022","1,500","598","188","45","5","62,580","62,580","1,340","1,455","1,409","1,687","3,693","5,805","5,771","4,604","4,467","3,758","4,934","4,620","4,875","4,293","3,063","2,680","2,187","1,270","512","136","21"
"서울특별시 용산구 (1117000000)","215,397","215,397","5,176","6,120","6,483","7,302","11,826","18,734","20,868","16,860","16,918","14,749","18,382","16,216","16,353","13,265","8,712","7,010","5,711","3,244","1,159","252","57","103,398","103,398","2,647","3,103","3,300","3,693","5,337","8,747","10,383","8,382","8,444","7,209","8,949","7,984","8,023","6,411","3,983","2,931","2,311","1,123","363","63","12","111,999","111,999","2,529","3,017","3,183","3,609","6,489","9,987","10,485","8,478","8,474","7,540","9,433","8,232","8,330","6,854","4,729","4,079","3,400","2,121","796","189","45"
"서울특별시 성동구 (1120000000)","278,035","278,035","8,013","9,104","8,375","9,593","17,195","24,120","23,859","21,733","22,229","18,905","23,180","21,175","21,562","17,131","11,275","9,018","6,902","3,387","1,015","220","44","134,979","134,979","4,188","4,597","4,210","4,770","8,125","11,934","11,632","10,719","11,298","9,336","11,310","10,532","10,728","8,206","5,197","3,867","2,812","1,172","281","51","14","143,056","143,056","3,825","4,507","4,165","4,823","9,070","12,186","12,227","11,014","10,931","9,569","11,870","10,643","10,834","8,925","6,078","5,151","4,090","2,215","734","169","30"
"서울특별시 광진구 (1121500000)","336,294","336,294","6,352","9,090","11,290","12,681","23,151","36,098","31,513","23,491","24,986","23,426","27,626","25,309","25,281","20,312","13,234","10,193","7,338","3,504","1,103","275","41","161,662","161,662","3,235","4,680","5,775","6,311","10,626","16,896","15,810","11,586","12,165","11,575","13,365","12,360","12,207","9,585","6,097","4,579","3,166","1,259","308","66","11","174,632","174,632","3,117","4,410","5,515","6,370","12,525","19,202","15,703","11,905","12,821","11,851","14,261","12,949","13,074","10,727","7,137","5,614","4,172","2,245","795","209","30"
"서울특별시 동대문구 (1123000000)","341,521","341,521","7,981","10,414","10,872","11,995","25,868","31,234","26,566","22,814","25,735","23,100","27,403","24,910","26,218","22,456","15,638","12,621","9,537","4,461","1,363","277","58","167,569","167,569","3,998","5,334","5,621","5,954","11,469","15,707","13,676","11,751","13,224","11,904","13,807","12,628","12,934","10,778","7,265","5,420","4,000","1,647","385","55","12","173,952","173,952","3,983","5,080","5,251","6,041","14,399","15,527","12,890","11,063","12,511","11,196","13,596","12,282","13,284","11,678","8,373","7,201","5,537","2,814","978","222","46"
"서울특별시 중랑구 (1126000000)","382,390","382,390","8,565","10,728","11,533","12,529","19,704","30,653","31,669","25,961","28,255","25,201","32,038","32,515","34,847","28,457","18,893","14,184","10,213","4,552","1,471","363","59","187,618","187,618","4,311","5,513","5,951","6,385","9,365","14,803","16,038","13,385","14,848","13,005","15,984","15,882","16,973","13,671","8,818","6,272","4,306","1,654","365","78","11","194,772","194,772","4,254","5,215","5,582","6,144","10,339","15,850","15,631","12,576","13,407","12,196","16,054","16,633","17,874","14,786","10,075","7,912","5,907","2,898","1,106","285","48"
"서울특별시 성북구 (1129000000)","426,892","426,892","9,951","14,416","16,575","18,785","31,730","33,297","29,244","27,042","32,459","31,490","38,608","32,057","31,423","26,756","18,502","14,990","11,800","5,543","1,732","435","57","204,851","204,851","5,133","7,342","8,444","9,516","14,274","16,391","14,793","13,388","16,041","15,372","18,998","15,822","14,943","12,399","8,267","6,286","4,859","1,987","498","83","15","222,041","222,041","4,818","7,074","8,131","9,269","17,456","16,906","14,451","13,654","16,418","16,118","19,610","16,235","16,480","14,357","10,235","8,704","6,941","3,556","1,234","352","42"
"서울특별시 강북구 (1130500000)","289,372","289,372","4,651","7,160","9,089","10,235","17,035","21,585","19,048","16,155","19,908","20,276","25,957","24,285","25,860","22,112","16,230","13,438","10,223","4,517","1,264","295","49","140,185","140,185","2,403","3,662","4,742","5,110","7,766","10,714","9,980","8,545","10,461","10,257","12,982","11,860","12,373","10,292","7,107","5,626","4,140","1,725","366","59","15","149,187","149,187","2,248","3,498","4,347","5,125","9,269","10,871","9,068","7,610","9,447","10,019","12,975","12,425","13,487","11,820","9,123","7,812","6,083","2,792","898","236","34"
