"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"서울특별시  (1100000000)","9,313,532","9,313,532","463,761","719,729","1,267,624","1,459,332","1,368,348","1,473,113","1,318,327","819,214","368,261","54,345","1,478","4,489,067","4,489,067","237,978","367,477","593,335","729,571","675,956","724,718","625,088","368,990","150,343","15,292","319","4,824,465","4,824,465","225,783","352,252","674,289","729,761","692,392","748,395","693,239","450,224","217,918","39,053","1,159"
"서울특별시 종로구 (1111000000)","137,449","137,449","5,152","9,275","20,381","19,859","18,296","22,922","20,964","12,462","6,903","1,198","37","65,925","65,925","2,640","4,535","9,478","9,879","8,810","11,242","10,468","5,741","2,746","373","13","71,524","71,524","2,512","4,740","10,903","9,980","9,486","11,680","10,496","6,721","4,157","825","24"
"서울특별시 종로구 청운효자동(1111051500)","10,961","10,961","523","1,012","1,299","1,511","1,726","1,863","1,424","923","575","102","3","4,962","4,962","271","499","636","680","751","854","631","378","232","27","3","5,999","5,999","252","513","663","831","975","1,009","793","545","343","75","0"
"서울특별시 종로구 사직동(1111053000)","8,915","8,915","370","598","1,044","1,432","1,382","1,462","1,277","735","497","111","7","3,922","3,922","185","265","444","636","582","653","591","304","215","43","4","4,993","4,993","185","333","600","796","800","809","686","431","282","68","3"
"서울특별시 종로구 삼청동(1111054000)","2,122","2,122","69","157","217","272","292","323","360","257","144","31","0","1,014","1,014","33","88","121","122","143","152","169","120","58","8","0","1,108","1,108","36","69","96","150","149","171","191","137","86","23","0"
"서울특별시 종로구 부암동(1111055000)","8,960","8,960","339","750","1,027","1,190","1,303","1,601","1,374","825","457","90","4","4,194","4,194","181","401","522","573","588","713","636","364","189","27","0","4,766","4,766","158","349","505","617","715","888","738","461","268","63","4"
"서울특별시 종로구 평창동(1111056000)","17,097","17,097","872","1,525","1,782","1,999","2,404","2,997","2,856","1,568","870","214","10","7,921","7,921","468","760","869","949","1,072","1,326","1,341","728","339","67","2","9,176","9,176","404","765","913","1,050","1,332","1,671","1,515","840","531","147","8"
"서울특별시 종로구 무악동(1111057000)","7,706","7,706","471","858","806","771","1,223","1,372","1,111","657","381","56","0","3,519","3,519","217","359","360","362","565","700","514","282","139","21","0","4,187","4,187","254","499","446","409","658","672","597","375","242","35","0"
"서울특별시 종로구 교남동(1111058000)","9,468","9,468","625","756","1,057","1,388","1,594","1,670","1,168","772","380","58","0","4,323","4,323","299","354","493","616","742","800","533","319","150","17","0","5,145","5,145","326","402","564","772","852","870","635","453","230","41","0"
"서울특별시 종로구 가회동(1111060000)","3,653","3,653","130","291","336","509","570","643","537","382","221","33","1","1,697","1,697","84","148","156","240","262","302","249","170","77","9","0","1,956","1,956","46","143","180","269","308","341","288","212","144","24","1"
